data,forn,area,eta,m,f,d1,d2,dpi,db1,db2,db3,N1,N2,ISTAT,reg
2021-01-02,Pfizer/BioNTech,LIG,30-39,36.0,61.0,97.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC3,7.0,Liguria
2021-01-02,Pfizer/BioNTech,LIG,40-49,49.0,105.0,154.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC3,7.0,Liguria
2021-01-02,Pfizer/BioNTech,LIG,50-59,90.0,197.0,287.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC3,7.0,Liguria
2021-01-02,Pfizer/BioNTech,LIG,60-69,55.0,47.0,102.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC3,7.0,Liguria
2021-01-02,Pfizer/BioNTech,LIG,70-79,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC3,7.0,Liguria
2021-01-02,Pfizer/BioNTech,LOM,12-19,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC4,3.0,Lombardia
2021-01-02,Pfizer/BioNTech,LOM,20-29,8.0,20.0,28.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC4,3.0,Lombardia
2021-01-02,Pfizer/BioNTech,LOM,30-39,13.0,29.0,42.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC4,3.0,Lombardia
2021-01-02,Pfizer/BioNTech,LOM,40-49,16.0,39.0,55.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC4,3.0,Lombardia
2021-01-02,Pfizer/BioNTech,LOM,50-59,21.0,31.0,52.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC4,3.0,Lombardia
2021-01-02,Pfizer/BioNTech,LOM,60-69,14.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC4,3.0,Lombardia
2021-01-02,Pfizer/BioNTech,LOM,70-79,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC4,3.0,Lombardia
2021-01-02,Pfizer/BioNTech,MAR,20-29,9.0,20.0,29.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI3,11.0,Marche
2021-01-02,Pfizer/BioNTech,MAR,30-39,35.0,51.0,85.0,0.0,1.0,0.0,0.0,0.0,ITI,ITI3,11.0,Marche
2021-01-02,Pfizer/BioNTech,MAR,40-49,29.0,88.0,117.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI3,11.0,Marche
2021-01-02,Pfizer/BioNTech,MAR,50-59,42.0,122.0,164.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI3,11.0,Marche
